seq,chapter,sentence,slen,note,noun,verb,adj,adv,con,pron,punct,dt,other,text,pos
1,1,1,32,,12,6,3,0,4,1,8,3,3,"St. Petersburgh, Dec. 11th, 17-- TO Mrs. Saville, England You will rejoice to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings.","[('St', 'NNP'), ('.', '.'), ('Petersburgh', 'NNP'), (',', ','), ('Dec', 'NNP'), ('.', '.'), ('11th', 'JJ'), (',', ','), ('17', 'CD'), ('--', ':'), ('TO', 'NNP'), ('Mrs', 'NNP'), ('.', '.'), ('Saville', 'NNP'), (',', ','), ('England', 'NNP'), ('You', 'NNP'), ('will', 'MD'), ('rejoice', 'VB'), ('to', 'TO'), ('hear', 'VB'), ('that', 'IN'), ('no', 'DT'), ('disaster', 'NN'), ('has', 'VBZ'), ('accompanied', 'VBN'), ('the', 'DT'), ('commencement', 'NN'), ('of', 'IN'), ('an', 'DT'), ('enterprise', 'NN'), ('which', 'WDT'), ('you', 'PRP'), ('have', 'VBP'), ('regarded', 'VBN'), ('with', 'IN'), ('such', 'JJ'), ('evil', 'JJ'), ('forebodings', 'NNS'), ('.', '.')]"
2,1,2,26,,8,4,1,1,6,5,2,1,0,"I arrived here yesterday, and my first task is to assure my dear sister of my welfare and increasing confidence in the success of my undertaking.","[('I', 'PRP'), ('arrived', 'VBD'), ('here', 'RB'), ('yesterday', 'NN'), (',', ','), ('and', 'CC'), ('my', 'PRP$'), ('first', 'JJ'), ('task', 'NN'), ('is', 'VBZ'), ('to', 'TO'), ('assure', 'VB'), ('my', 'PRP$'), ('dear', 'NN'), ('sister', 'NN'), ('of', 'IN'), ('my', 'PRP$'), ('welfare', 'NN'), ('and', 'CC'), ('increasing', 'VBG'), ('confidence', 'NN'), ('in', 'IN'), ('the', 'DT'), ('success', 'NN'), ('of', 'IN'), ('my', 'PRP$'), ('undertaking', 'NN'), ('.', '.')]"
3,1,3,35,,10,3,3,2,8,6,4,2,1,"I am already far north of London, and as I walk in the streets of Petersburgh, I feel a cold northern breeze play upon my cheeks, which braces my nerves and fills me with delight.","[('I', 'PRP'), ('am', 'VBP'), ('already', 'RB'), ('far', 'RB'), ('north', 'JJ'), ('of', 'IN'), ('London', 'NNP'), (',', ','), ('and', 'CC'), ('as', 'IN'), ('I', 'PRP'), ('walk', 'VBP'), ('in', 'IN'), ('the', 'DT'), ('streets', 'NNS'), ('of', 'IN'), ('Petersburgh', 'NNP'), (',', ','), ('I', 'PRP'), ('feel', 'VBP'), ('a', 'DT'), ('cold', 'JJ'), ('northern', 'NN'), ('breeze', 'NN'), ('play', 'NN'), ('upon', 'IN'), ('my', 'PRP$'), ('cheeks', 'NNS'), (',', ','), ('which', 'WDT'), ('braces', 'NNS'), ('my', 'PRP$'), ('nerves', 'NNS'), ('and', 'CC'), ('fills', 'NNS'), ('me', 'PRP'), ('with', 'IN'), ('delight', 'JJ'), ('.', '.')]"
4,1,4,5,,2,1,0,0,0,1,1,1,0,Do you understand this feeling?,"[('Do', 'NNP'), ('you', 'PRP'), ('understand', 'VB'), ('this', 'DT'), ('feeling', 'NN'), ('?', '.')]"
5,1,5,21,,5,6,0,0,2,2,3,4,2,"This breeze, which has travelled from the regions towards which I am advancing, gives me a foretaste of those icy climes.","[('This', 'DT'), ('breeze', 'NN'), (',', ','), ('which', 'WDT'), ('has', 'VBZ'), ('travelled', 'VBN'), ('from', 'IN'), ('the', 'DT'), ('regions', 'NNS'), ('towards', 'NNS'), ('which', 'WDT'), ('I', 'PRP'), ('am', 'VBP'), ('advancing', 'VBG'), (',', ','), ('gives', 'VBZ'), ('me', 'PRP'), ('a', 'DT'), ('foretaste', 'NN'), ('of', 'IN'), ('those', 'DT'), ('icy', 'NN'), ('climes', 'VBZ'), ('.', '.')]"
6,1,6,13,,4,1,2,1,3,1,2,1,0,"Inspirited by this wind of promise, my daydreams become more fervent and vivid.","[('Inspirited', 'NNP'), ('by', 'IN'), ('this', 'DT'), ('wind', 'NN'), ('of', 'IN'), ('promise', 'NN'), (',', ','), ('my', 'PRP$'), ('daydreams', 'NNS'), ('become', 'VBP'), ('more', 'RBR'), ('fervent', 'JJ'), ('and', 'CC'), ('vivid', 'JJ'), ('.', '.')]"
7,1,7,31,,9,5,0,1,9,4,2,3,0,I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight.,"[('I', 'PRP'), ('try', 'VBP'), ('in', 'IN'), ('vain', 'NN'), ('to', 'TO'), ('be', 'VB'), ('persuaded', 'VBN'), ('that', 'IN'), ('the', 'DT'), ('pole', 'NN'), ('is', 'VBZ'), ('the', 'DT'), ('seat', 'NN'), ('of', 'IN'), ('frost', 'NN'), ('and', 'CC'), ('desolation', 'NN'), (';', ':'), ('it', 'PRP'), ('ever', 'RB'), ('presents', 'VBZ'), ('itself', 'PRP'), ('to', 'TO'), ('my', 'PRP$'), ('imagination', 'NN'), ('as', 'IN'), ('the', 'DT'), ('region', 'NN'), ('of', 'IN'), ('beauty', 'NN'), ('and', 'CC'), ('delight', 'NN'), ('.', '.')]"
8,1,8,19,,5,3,3,2,1,1,4,3,1,"There, Margaret, the sun is forever visible, its broad disk just skirting the horizon and diffusing a perpetual splendour.","[('There', 'EX'), (',', ','), ('Margaret', 'NNP'), (',', ','), ('the', 'DT'), ('sun', 'NN'), ('is', 'VBZ'), ('forever', 'RB'), ('visible', 'JJ'), (',', ','), ('its', 'PRP$'), ('broad', 'JJ'), ('disk', 'NN'), ('just', 'RB'), ('skirting', 'VBG'), ('the', 'DT'), ('horizon', 'NN'), ('and', 'CC'), ('diffusing', 'VBG'), ('a', 'DT'), ('perpetual', 'JJ'), ('splendour', 'NN'), ('.', '.')]"
9,1,9,48,,13,9,2,1,11,4,8,5,3,"There--for with your leave, my sister, I will put some trust in preceding navigators--there snow and frost are banished; and, sailing over a calm sea, we may be wafted to a land surpassing in wonders and in beauty every region hitherto discovered on the habitable globe.","[('There', 'EX'), ('--', ':'), ('for', 'IN'), ('with', 'IN'), ('your', 'PRP$'), ('leave', 'NN'), (',', ','), ('my', 'PRP$'), ('sister', 'NN'), (',', ','), ('I', 'PRP'), ('will', 'MD'), ('put', 'VB'), ('some', 'DT'), ('trust', 'NN'), ('in', 'IN'), ('preceding', 'NN'), ('navigators', 'NNS'), ('--', ':'), ('there', 'RB'), ('snow', 'VBP'), ('and', 'CC'), ('frost', 'JJS'), ('are', 'VBP'), ('banished', 'VBN'), (';', ':'), ('and', 'CC'), (',', ','), ('sailing', 'VBG'), ('over', 'IN'), ('a', 'DT'), ('calm', 'NN'), ('sea', 'NN'), (',', ','), ('we', 'PRP'), ('may', 'MD'), ('be', 'VB'), ('wafted', 'VBN'), ('to', 'TO'), ('a', 'DT'), ('land', 'NN'), ('surpassing', 'VBG'), ('in', 'IN'), ('wonders', 'NNS'), ('and', 'CC'), ('in', 'IN'), ('beauty', 'NN'), ('every', 'DT'), ('region', 'NN'), ('hitherto', 'NN'), ('discovered', 'VBD'), ('on', 'IN'), ('the', 'DT'), ('habitable', 'JJ'), ('globe', 'NN'), ('.', '.')]"
10,1,10,21,,5,4,0,2,5,1,2,3,1,"Its productions and features may be without example, as the phenomena of the heavenly bodies undoubtedly are in those undiscovered solitudes.","[('Its', 'PRP$'), ('productions', 'NNS'), ('and', 'CC'), ('features', 'NNS'), ('may', 'MD'), ('be', 'VB'), ('without', 'IN'), ('example', 'NN'), (',', ','), ('as', 'IN'), ('the', 'DT'), ('phenomena', 'NN'), ('of', 'IN'), ('the', 'DT'), ('heavenly', 'RB'), ('bodies', 'VBZ'), ('undoubtedly', 'RB'), ('are', 'VBP'), ('in', 'IN'), ('those', 'DT'), ('undiscovered', 'VBN'), ('solitudes', 'NNS'), ('.', '.')]"
11,1,11,11,,1,2,2,1,2,1,1,1,1,What may not be expected in a country of eternal light?,"[('What', 'WP'), ('may', 'MD'), ('not', 'RB'), ('be', 'VB'), ('expected', 'VBN'), ('in', 'IN'), ('a', 'DT'), ('country', 'NN'), ('of', 'IN'), ('eternal', 'JJ'), ('light', 'JJ'), ('?', '.')]"
