seq,chapter,sentence,slen,note,noun,verb,adj,adv,con,pron,punct,dt,other,text,pos
1,1,1,23,"Act 1. The five Bennet sisters are poor and single when three strangers start stirring up feelings: Mr. Bingley, who Jane falls in love with; Mr. Darcy, who Elizabeth falls in hate with; and Mr. Wickham, who is trouble.",5,3,3,1,5,1,3,4,1,"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.","[('It', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('truth', 'NN'), ('universally', 'RB'), ('acknowledged', 'VBD'), (',', ','), ('that', 'IN'), ('a', 'DT'), ('single', 'JJ'), ('man', 'NN'), ('in', 'IN'), ('possession', 'NN'), ('of', 'IN'), ('a', 'DT'), ('good', 'JJ'), ('fortune', 'NN'), (',', ','), ('must', 'MD'), ('be', 'VB'), ('in', 'IN'), ('want', 'JJ'), ('of', 'IN'), ('a', 'DT'), ('wife', 'NN'), ('.', '.')]"
2,1,2,47,,10,7,4,4,9,3,3,8,2,"However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered the rightful property of some one or other of their daughters.","[('However', 'RB'), ('little', 'RB'), ('known', 'VBN'), ('the', 'DT'), ('feelings', 'NNS'), ('or', 'CC'), ('views', 'NNS'), ('of', 'IN'), ('such', 'JJ'), ('a', 'DT'), ('man', 'NN'), ('may', 'MD'), ('be', 'VB'), ('on', 'IN'), ('his', 'PRP$'), ('first', 'JJ'), ('entering', 'NN'), ('a', 'DT'), ('neighbourhood', 'NN'), (',', ','), ('this', 'DT'), ('truth', 'NN'), ('is', 'VBZ'), ('so', 'RB'), ('well', 'RB'), ('fixed', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('minds', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('surrounding', 'VBG'), ('families', 'NNS'), (',', ','), ('that', 'IN'), ('he', 'PRP'), ('is', 'VBZ'), ('considered', 'VBN'), ('the', 'DT'), ('rightful', 'JJ'), ('property', 'NN'), ('of', 'IN'), ('some', 'DT'), ('one', 'CD'), ('or', 'CC'), ('other', 'JJ'), ('of', 'IN'), ('their', 'PRP$'), ('daughters', 'NNS'), ('.', '.')]"
3,1,3,21,,10,5,1,0,3,4,3,0,1,"""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?""","[('""', 'NN'), ('My', 'PRP$'), ('dear', 'NN'), ('Mr', 'NNP'), ('.', '.'), ('Bennet', 'NNP'), (',""', 'NNP'), ('said', 'VBD'), ('his', 'PRP$'), ('lady', 'NN'), ('to', 'TO'), ('him', 'PRP'), ('one', 'CD'), ('day', 'NN'), (',', ','), ('""', ':'), ('have', 'VBP'), ('you', 'PRP'), ('heard', 'VBP'), ('that', 'IN'), ('Netherfield', 'NNP'), ('Park', 'NNP'), ('is', 'VBZ'), ('let', 'VBN'), ('at', 'IN'), ('last', 'JJ'), ('?""', 'NN')]"
4,1,4,7,,2,2,0,1,1,1,2,0,0,Mr. Bennet replied that he had not.,"[('Mr', 'NNP'), ('.', '.'), ('Bennet', 'NNP'), ('replied', 'VBD'), ('that', 'IN'), ('he', 'PRP'), ('had', 'VBD'), ('not', 'RB'), ('.', '.')]"
5,1,5,19,,3,5,0,2,4,5,6,1,0,"""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it.""","[('""', 'NN'), ('But', 'CC'), ('it', 'PRP'), ('is', 'VBZ'), (',""', ':'), ('returned', 'VBN'), ('she', 'PRP'), (';', ':'), ('""', ':'), ('for', 'IN'), ('Mrs', 'NNP'), ('.', '.'), ('Long', 'NNP'), ('has', 'VBZ'), ('just', 'RB'), ('been', 'VBN'), ('here', 'RB'), (',', ','), ('and', 'CC'), ('she', 'PRP'), ('told', 'VBD'), ('me', 'PRP'), ('all', 'DT'), ('about', 'IN'), ('it', 'PRP'), ('.""', ':')]"
6,1,6,5,,3,1,0,0,0,0,2,1,0,Mr. Bennet made no answer.,"[('Mr', 'NNP'), ('.', '.'), ('Bennet', 'NNP'), ('made', 'VBD'), ('no', 'DT'), ('answer', 'NN'), ('.', '.')]"
7,1,7,10,,1,5,0,1,1,3,1,0,0,"""Do you not want to know who has taken it?""","[('""', 'NN'), ('Do', 'VBP'), ('you', 'PRP'), ('not', 'RB'), ('want', 'VBP'), ('to', 'TO'), ('know', 'VB'), ('who', 'WP'), ('has', 'VBZ'), ('taken', 'VBN'), ('it', 'PRP'), ('?""', ':')]"
8,1,8,4,,1,1,0,1,0,1,1,0,0,cried his wife impatiently.,"[('cried', 'VBD'), ('his', 'PRP$'), ('wife', 'NN'), ('impatiently', 'RB'), ('.', '.')]"
9,1,9,13,,5,2,0,0,3,3,2,1,0,"""_You_ want to tell me, and I have no objection to hearing it.""","[('""', 'NN'), ('_You_', 'NNP'), ('want', 'NN'), ('to', 'TO'), ('tell', 'VB'), ('me', 'PRP'), (',', ','), ('and', 'CC'), ('I', 'PRP'), ('have', 'VBP'), ('no', 'DT'), ('objection', 'NN'), ('to', 'TO'), ('hearing', 'NN'), ('it', 'PRP'), ('.""', ':')]"
10,1,10,4,,1,1,0,1,0,0,1,1,0,This was invitation enough.,"[('This', 'DT'), ('was', 'VBD'), ('invitation', 'NN'), ('enough', 'RB'), ('.', '.')]"
11,1,11,79,,19,13,4,4,21,7,11,9,3,"""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it, that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.""","[('""', 'NN'), ('Why', 'WRB'), (',', ','), ('my', 'PRP$'), ('dear', 'NN'), (',', ','), ('you', 'PRP'), ('must', 'MD'), ('know', 'VB'), (',', ','), ('Mrs', 'NNP'), ('.', '.'), ('Long', 'NNP'), ('says', 'VBZ'), ('that', 'IN'), ('Netherfield', 'NNP'), ('is', 'VBZ'), ('taken', 'VBN'), ('by', 'IN'), ('a', 'DT'), ('young', 'JJ'), ('man', 'NN'), ('of', 'IN'), ('large', 'JJ'), ('fortune', 'NN'), ('from', 'IN'), ('the', 'DT'), ('north', 'JJ'), ('of', 'IN'), ('England', 'NNP'), (';', ':'), ('that', 'DT'), ('he', 'PRP'), ('came', 'VBD'), ('down', 'RP'), ('on', 'IN'), ('Monday', 'NNP'), ('in', 'IN'), ('a', 'DT'), ('chaise', 'NN'), ('and', 'CC'), ('four', 'CD'), ('to', 'TO'), ('see', 'VB'), ('the', 'DT'), ('place', 'NN'), (',', ','), ('and', 'CC'), ('was', 'VBD'), ('so', 'RB'), ('much', 'RB'), ('delighted', 'VBN'), ('with', 'IN'), ('it', 'PRP'), (',', ','), ('that', 'IN'), ('he', 'PRP'), ('agreed', 'VBD'), ('with', 'IN'), ('Mr', 'NNP'), ('.', '.'), ('Morris', 'NNP'), ('immediately', 'RB'), (';', ':'), ('that', 'DT'), ('he', 'PRP'), ('is', 'VBZ'), ('to', 'TO'), ('take', 'VB'), ('possession', 'NN'), ('before', 'IN'), ('Michaelmas', 'NNP'), (',', ','), ('and', 'CC'), ('some', 'DT'), ('of', 'IN'), ('his', 'PRP$'), ('servants', 'NNS'), ('are', 'VBP'), ('to', 'TO'), ('be', 'VB'), ('in', 'IN'), ('the', 'DT'), ('house', 'NN'), ('by', 'IN'), ('the', 'DT'), ('end', 'NN'), ('of', 'IN'), ('next', 'JJ'), ('week', 'NN'), ('.""', ':')]"
12,1,12,4,,2,1,0,0,0,2,1,0,0,"""What is his name?""","[('""', 'NN'), ('What', 'WP'), ('is', 'VBZ'), ('his', 'PRP$'), ('name', 'NN'), ('?""', ':')]"
13,1,13,1,,3,0,0,0,0,0,0,0,0,"""Bingley.""","[('""', 'NN'), ('Bingley', 'NNP'), ('.""', 'NNP')]"
14,1,14,5,,2,2,1,0,1,1,0,0,0,"""Is he married or single?""","[('""', 'NN'), ('Is', 'VBZ'), ('he', 'PRP'), ('married', 'VBD'), ('or', 'CC'), ('single', 'JJ'), ('?""', 'NN')]"
15,1,15,1,,2,0,0,0,0,0,1,0,0,"""Oh!","[('""', 'NN'), ('Oh', 'NNP'), ('!', '.')]"
16,1,16,6,,2,1,1,0,1,1,3,0,0,"Single, my dear, to be sure!","[('Single', 'NNP'), (',', ','), ('my', 'PRP$'), ('dear', 'NN'), (',', ','), ('to', 'TO'), ('be', 'VB'), ('sure', 'JJ'), ('!', '.')]"
17,1,17,12,,4,0,2,0,2,0,2,2,2,A single man of large fortune; four or five thousand a year.,"[('A', 'DT'), ('single', 'JJ'), ('man', 'NN'), ('of', 'IN'), ('large', 'JJ'), ('fortune', 'NN'), (';', ':'), ('four', 'CD'), ('or', 'CC'), ('five', 'CD'), ('thousand', 'NN'), ('a', 'DT'), ('year', 'NN'), ('.', '.')]"
18,1,18,7,,3,0,0,0,1,2,1,1,0,"What a fine thing for our girls!""","[('What', 'WP'), ('a', 'DT'), ('fine', 'NN'), ('thing', 'NN'), ('for', 'IN'), ('our', 'PRP$'), ('girls', 'NNS'), ('!""', ':')]"
19,1,19,2,,1,0,0,2,0,0,1,0,0,"""How so?","[('""', 'NN'), ('How', 'WRB'), ('so', 'RB'), ('?', '.')]"
20,1,20,5,,0,1,0,1,0,2,1,0,1,"How can it affect them?""","[('How', 'WRB'), ('can', 'MD'), ('it', 'PRP'), ('affect', 'VB'), ('them', 'PRP'), ('?""', ':')]"
